                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5323,                 3.9885,                 1.7497,                0.79719,                0.10236,                0.13222,                0.08235,                 1.6239,                 2.5222,                 1.9037,               0.067398,             0.00032932,             0.00032932
                      1,                 1.4732,                 2.2265,                 1.5834,                0.43549,                0.34604,                0.33369,                0.21444,                 1.5567,                 1.7373,                 1.7296,               0.034391,             0.00065606,             0.00065606
                      2,                 1.3991,                 1.8173,                 1.4987,                0.59659,                0.40226,                0.44245,                0.28538,                 1.5187,                 1.4099,                 1.6736,              0.0013778,             0.00097616,             0.00097616
                      3,                 1.3488,                 1.6111,                 1.4478,                0.52083,                0.52281,                0.48956,                0.32712,                   1.48,                 1.2581,                 1.6461,             0.00097015,             0.00097015,             0.00097015
                      4,                 1.3301,                 1.4414,                 1.4293,                 0.4809,                0.52136,                0.50658,                0.32751,                 1.4757,                 1.2347,                 1.6544,             0.00097015,             0.00097015,             0.00097015
                      5,                 1.2775,                 1.3624,                 1.4122,                0.60884,                0.49139,                0.58883,                0.37229,                 1.4624,                 1.2005,                 1.6435,              0.0009602,              0.0009602,              0.0009602
                      6,                 1.2781,                 1.2711,                 1.3918,                0.50657,                0.61945,                0.58617,                0.38656,                 1.4959,                 1.1754,                 1.6515,             0.00095025,             0.00095025,             0.00095025
                      7,                 1.2564,                 1.2164,                 1.3853,                0.41736,                0.61608,                0.57392,                0.37737,                 1.4904,                 1.1828,                 1.6584,              0.0009403,              0.0009403,              0.0009403
                      8,                 1.2534,                  1.162,                 1.3913,                0.61372,                0.59105,                0.64448,                0.43214,                 1.4888,                 1.1112,                 1.6644,             0.00093035,             0.00093035,             0.00093035
                      9,                 1.2173,                 1.1229,                 1.3704,                 0.5268,                0.64524,                0.66023,                0.42421,                 1.5082,                 1.1172,                 1.6614,              0.0009204,              0.0009204,              0.0009204
                     10,                 1.1924,                 1.0725,                 1.3379,                0.49629,                0.63175,                0.61239,                0.40617,                 1.4917,                 1.1317,                 1.6608,             0.00091045,             0.00091045,             0.00091045
                     11,                  1.183,                 1.0423,                 1.3417,                 0.5757,                0.65647,                0.69258,                0.43018,                 1.4761,                 1.1153,                 1.6567,              0.0009005,              0.0009005,              0.0009005
                     12,                 1.1708,                 1.0093,                  1.312,                0.57867,                0.65798,                0.70215,                0.44618,                 1.5088,                 1.0888,                 1.6825,             0.00089055,             0.00089055,             0.00089055
                     13,                 1.1528,                0.97204,                 1.3061,                0.51384,                0.61987,                0.64533,                0.42306,                 1.5219,                 1.1471,                 1.6987,              0.0008806,              0.0008806,              0.0008806
                     14,                 1.1333,                0.96452,                  1.292,                0.48342,                0.68697,                0.65961,                0.42077,                 1.5071,                 1.1504,                 1.7188,             0.00087065,             0.00087065,             0.00087065
                     15,                 1.1113,                0.92681,                 1.2904,                0.66007,                0.61649,                0.66639,                0.43401,                 1.5217,                 1.0903,                 1.7086,              0.0008607,              0.0008607,              0.0008607
                     16,                 1.0972,                0.90117,                 1.2827,                0.52479,                0.64681,                0.67405,                0.41623,                 1.5625,                 1.1304,                 1.7311,             0.00085075,             0.00085075,             0.00085075
                     17,                 1.0941,                0.89114,                  1.269,                0.74535,                0.57194,                0.72216,                0.46094,                  1.552,                 1.1041,                 1.7291,              0.0008408,              0.0008408,              0.0008408
                     18,                 1.0857,                0.88566,                  1.272,                0.57905,                0.64942,                0.69986,                0.44722,                   1.55,                  1.109,                 1.7453,             0.00083085,             0.00083085,             0.00083085
                     19,                 1.0597,                0.84289,                 1.2448,                0.58616,                0.69287,                0.72047,                0.44649,                 1.5506,                 1.1256,                  1.728,              0.0008209,              0.0008209,              0.0008209
                     20,                 1.0458,                0.83752,                 1.2429,                0.67382,                0.70825,                0.73891,                0.47005,                 1.5559,                 1.1209,                 1.7512,             0.00081095,             0.00081095,             0.00081095
                     21,                  1.033,                0.81999,                 1.2418,                 0.5875,                0.74851,                0.73143,                0.45455,                 1.5561,                 1.1161,                 1.7502,               0.000801,               0.000801,               0.000801
                     22,                 1.0205,                0.80168,                 1.2352,                 0.5957,                0.67278,                0.69029,                0.43998,                  1.556,                 1.1289,                 1.7598,             0.00079105,             0.00079105,             0.00079105
                     23,                 1.0091,                0.78886,                 1.2295,                0.65158,                0.65999,                0.75164,                0.47376,                 1.5775,                 1.1304,                 1.7896,              0.0007811,              0.0007811,              0.0007811
                     24,                0.99629,                0.78333,                 1.2215,                0.55568,                0.69963,                 0.7198,                0.44882,                 1.5585,                 1.1345,                 1.7801,             0.00077115,             0.00077115,             0.00077115
                     25,                0.99129,                0.77131,                 1.2207,                0.64961,                0.66708,                 0.7075,                0.44293,                 1.5971,                 1.1568,                 1.8159,              0.0007612,              0.0007612,              0.0007612
                     26,                0.97691,                0.74378,                 1.2167,                0.64355,                0.69039,                0.73551,                0.45757,                 1.5956,                 1.1588,                 1.8142,             0.00075125,             0.00075125,             0.00075125
                     27,                0.95977,                0.74647,                    1.2,                0.71588,                0.64822,                0.71872,                0.45301,                 1.5578,                 1.1422,                 1.8053,              0.0007413,              0.0007413,              0.0007413
